Front,Back,Box,NextReviewDate
H,1|Hydrogen,1,2023-11-17
He,2|Helium,1,2023-11-17
Li,3|Lithium,1,2023-11-17
Be,4|Beryllium,1,2023-11-17
B,5|Boron,1,2023-11-17
C,6|Carbon,1,2023-11-17
N,7|Nitrogen,1,2023-11-17
O,8|Oxygen,1,2023-11-17
F,9|Fluorine,1,2023-11-17
Ne,10|Neon,1,2023-11-17
Na,11|Sodium,1,2023-11-17
Mg,12|Magnesium,1,2023-11-17
Al,13|Aluminum,1,2023-11-17
Si,14|Silicon,1,2023-11-17
P,15|Phosphorus,1,2023-11-17
S,16|Sulfur,1,2023-11-17
Cl,17|Chlorine,1,2023-11-17
Ar,18|Argon,1,2023-11-17
K,19|Potassium,1,2023-11-17
Ca,20|Calcium,1,2023-11-17
Sc,21|Scandium,1,2023-11-17
Ti,22|Titanium,1,2023-11-17
V,23|Vanadium,1,2023-11-17
Cr,24|Chromium,1,2023-11-17
Mn,25|Manganese,1,2023-11-17
Fe,26|Iron,1,2023-11-17
Co,27|Cobalt,1,2023-11-17
Ni,28|Nickel,1,2023-11-17
Cu,29|Copper,1,2023-11-17
Zn,30|Zinc,1,2023-11-17
Ga,31|Gallium,1,2023-11-17
Ge,32|Germanium,1,2023-11-17
As,33|Arsenic,1,2023-11-17
Se,34|Selenium,1,2023-11-17
Br,35|Bromine,1,2023-11-17
Kr,36|Krypton,1,2023-11-17
Rb,37|Rubidium,1,2023-11-17
Sr,38|Strontium,1,2023-11-17
Y,39|Yttrium,1,2023-11-17
Zr,40|Zirconium,1,2023-11-17
Nb,41|Niobium,1,2023-11-17
Mo,42|Molybdenum,1,2023-11-17
Tc,43|Technetium,1,2023-11-17
Ru,44|Ruthenium,1,2023-11-17
Rh,45|Rhodium,1,2023-11-17
Pd,46|Palladium,1,2023-11-17
Ag,47|Silver,1,2023-11-17
Cd,48|Cadmium,1,2023-11-17
In,49|Indium,1,2023-11-17
Sn,50|Tin,1,2023-11-17
Sb,51|Antimony,1,2023-11-17
Te,52|Tellurium,1,2023-11-17
I,53|Iodine,1,2023-11-17
Xe,54|Xenon,1,2023-11-17
Cs,55|Cesium,1,2023-11-17
Ba,56|Barium,1,2023-11-17
La,57|Lanthanum,1,2023-11-17
Ce,58|Cerium,1,2023-11-17
Pr,59|Praseodymium,1,2023-11-17
Nd,60|Neodymium,1,2023-11-17
Pm,61|Promethium,1,2023-11-17
Sm,62|Samarium,1,2023-11-17
Eu,63|Europium,1,2023-11-17
Gd,64|Gadolinium,1,2023-11-17
Tb,65|Terbium,1,2023-11-17
Dy,66|Dysprosium,1,2023-11-17
Ho,67|Holmium,1,2023-11-17
Er,68|Erbium,1,2023-11-17
Tm,69|Thulium,1,2023-11-17
Yb,70|Ytterbium,1,2023-11-17
Lu,71|Lutetium,1,2023-11-17
Hf,72|Hafnium,1,2023-11-17
Ta,73|Tantalum,1,2023-11-17
W,74|Tungsten,1,2023-11-17
Re,75|Rhenium,1,2023-11-17
Os,76|Osmium,1,2023-11-17
Ir,77|Iridium,1,2023-11-17
Pt,78|Platinum,1,2023-11-17
Au,79|Gold,1,2023-11-17
Hg,80|Mercury,1,2023-11-17
Tl,81|Thallium,1,2023-11-17
Pb,82|Lead,1,2023-11-17
Bi,83|Bismuth,1,2023-11-17
Po,84|Polonium,1,2023-11-17
At,85|Astatine,1,2023-11-17
Rn,86|Radon,1,2023-11-17
Fr,87|Francium,1,2023-11-17
Ra,88|Radium,1,2023-11-17
Ac,89|Actinium,1,2023-11-17
Th,90|Thorium,1,2023-11-17
Pa,91|Protactinium,1,2023-11-17
U,92|Uranium,1,2023-11-17
Np,93|Neptunium,1,2023-11-17
Pu,94|Plutonium,1,2023-11-17
Am,95|Americium,1,2023-11-17
Cm,96|Curium,1,2023-11-17
Bk,97|Berkelium,1,2023-11-17
Cf,98|Californium,1,2023-11-17
Es,99|Einsteinium,1,2023-11-17
Fm,100|Fermium,1,2023-11-17
Md,101|Mendelevium,1,2023-11-17
No,102|Nobelium,1,2023-11-17
Lr,103|Lawrencium,1,2023-11-17
Rf,104|Rutherfordium,1,2023-11-17
Db,105|Dubnium,1,2023-11-17
Sg,106|Seaborgium,1,2023-11-17
Bh,107|Bohrium,1,2023-11-17
Hs,108|Hassium,1,2023-11-17
Mt,109|Meitnerium,1,2023-11-17
Ds,110|Darmstadtium,1,2023-11-17
Rg,111|Roentgenium,1,2023-11-17
Cn,112|Copernicium,1,2023-11-17
Nh,113|Nihonium,1,2023-11-17
Fl,114|Flerovium,1,2023-11-17
Mc,115|Moscovium,1,2023-11-17
Lv,116|Livermorium,1,2023-11-17
Ts,117|Tennessine,1,2023-11-17
Og,118|Oganesson,1,2023-11-17